_id,abstract,blog,author,document_type,filename,headline,keywords,lead_paragraph,multimedia,news_desk,,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,formatted_pub_date,hed_main,type,annotation,anno_title
,"While scientific evidence links the whooping cough and rubella vaccines to adverse effects like allergic reactions and arthritis in some people, there is little data to connect many other conditions previously associated with the vaccinations, an expert panel has concluded.",,,,,,,"While scientific evidence links the whooping cough and rubella vaccines to adverse effects like allergic reactions and arthritis in some people, there is little data to connect many other conditions previously associated with the vaccinations, an expert panel has concluded.",[],,,1991-07-05T05:00:00+0000,,"While scientific evidence links the whooping cough and rubella vaccines to adverse effects like allergic reactions and arthritis in some people, there is little data to connect many other conditions previously associated with the vaccinations, an expert panel has concluded.",The New York Times,,News,,https://www.nytimes.com/1991/07/05/us/panel-discounts-many-adverse-effects-tied-to-childhood-vaccines.html,,1991/07/05,Panel Discounts Many Adverse Effects Tied to Childhood Vaccines,article,"Although chatter linking the two occasionally emerged, it was limited to a single study that found no link between autism and another, older vaccine (diptheria, whooping cough, and tetanus).",
5ca07f7349f0eacbf1e34867,"Margaret Talbot article on attachment theory as it is being studied in children adopted by Americans from the worst eastern European orphanages, who are disturbed, detached and unreachable owing to extreme trauma of maternal deprivation; says their condition may offer insight into how children are affected by more routine separations of their mothers, as in day care; there are more than 18,000 of these adoptees in United States, and the most traumatized among them--roughly 20 percent to 30 percent--are one of most scrutinized and therapeutically manipulated populations in annals of psychology; this is in part because adoptive parents have proven to be such cooperative subjects; photos (L)",{},"{'original': 'By Margaret Talbot', 'person': [{'firstname': 'Margaret', 'middlename': None, 'lastname': 'Talbot', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_19980101_0.json,"{'main': 'The Disconnected; Attachment Theory: The Ultimate Experiment', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Disconnected; Attachment Theory: The Ultimate Experiment', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Europe', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ADOPTIONS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Orphans and Orphanages', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Child Care', 'rank': 7, 'major': 'N'}]",,[],Magazine Desk,,1998-05-24T05:00:00+0000,Magazine,,The New York Times,,News,nyt://article/7b30d8c8-dc34-50f0-a19b-aa589bb22fbd,https://www.nytimes.com/1998/05/24/magazine/the-disconnected-attachment-theory-the-ultimate-experiment.html,8561,1998/05/24,The Disconnected; Attachment Theory: The Ultimate Experiment,article,,
5ca0818b49f0eacbf1e3fc37,"Overload of conflicting and often alarmist information about vaccinations is leading some medical experts into a new field of research: not the effectiveness and safety of vaccines, which they consider proven, but public's questions, doubts and fears; Infectious Diseases Society of America has created initiative, which is using focus groups, surveys and other marketing tools to explain immunization to public; doctors fight backlash over vaccines (M)",{},"{'original': 'By Michael Pollak', 'person': [{'firstname': 'Michael', 'middlename': None, 'lastname': 'Pollak', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_19990101_0.json,"{'main': 'Doctors Fighting Backlash Over Vaccines', 'kicker': None, 'content_kicker': None, 'print_headline': 'Doctors Fighting Backlash Over Vaccines', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Infectious Diseases Society of America', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'PUBLIC OPINION', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 4, 'major': 'N'}]","The adverse events under consideration by the committee are, in most instances, rare in the exposed population, the report said. ""They also are known to occur in the absence of vaccination, are clinically ill-defined, and are generally of unknown causation in the general population.""",[],Health & Fitness,,1999-04-27T05:00:00+0000,Health,"The adverse events under consideration by the committee are, in most instances, rare in the exposed population, the report said. ""They also are known to occur in the absence of vaccination, are clinically ill-defined, and are generally of unknown causation in the general population.""",The New York Times,,News,nyt://article/c85c0bc2-4e22-574d-bce9-960d57eb14ae,https://www.nytimes.com/1999/04/27/health/doctors-fighting-backlash-over-vaccines.html,1166,1999/04/27,Doctors Fighting Backlash Over Vaccines,article,,
5ca0391f49f0eacbf1cb95a4,"Repulican and Democratic leaders of the House Government Reform and Oversight Committee, who agree on little, agree to ask the Department of Health and Human Services to study whether vaccination causes small number of cases of autism; vaccine is MMR, for measles, mumps and rubella (S)",{},"{'original': 'By Philip J. Hilts', 'person': [{'firstname': 'Philip', 'middlename': 'J.', 'lastname': 'Hilts', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20000101_0.json,"{'main': 'House Panel Asks for Study of a Vaccine', 'kicker': None, 'content_kicker': None, 'print_headline': 'House Panel Asks for Study of a Vaccine', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Autism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'MMR (VACCINE)', 'rank': 3, 'major': 'N'}]","After a long and contentious hearing, Republican and Democratic leaders of the House Government Reform and Oversight Committee, who agreed on little else, agreed today to ask the Department of Health and Human Services to study whether vaccination caused a small number of cases of autism.",[],National Desk,,2000-04-07T05:00:00+0000,U.S.,"Repulican and Democratic leaders of the House Government Reform and Oversight Committee, who agree on little, agree to ask the Department of Health and Human Services to study whether vaccination causes small number of cases of autism; vaccine is ...",The New York Times,,News,nyt://article/6840b44a-dbac-5bf8-943b-2d4eaa62a5db,https://www.nytimes.com/2000/04/07/us/house-panel-asks-for-study-of-a-vaccine.html,782,2000/04/07,House Panel Asks for Study of a Vaccine,article,"Meanwhile, the idea of a vaccine/autism link begins to spread. In the US, lawmakers began to call for a study to investigate the vaccine/autism link.",In America...
5ca038ab49f0eacbf1cb6cf7," INTERNATIONAL   A3-12    Deposed Pakistani Leader Is Given Life Sentence  Nawaz Sharif, 52, ousted as prime minister in a military coup last October, was convicted of hijacking a commercial airliner, sentenced to life imprisonment rather than death and ordered to forfeit all his personal property. The hijacking charge arose from Mr. Sharif's order to deny a landing in Karachi to a plane carrying a general he had just fired.   A1",{},"{'original': None, 'person': [], 'organization': None}",article,nyt_vaccine_autism/v2/date_20000101_0.json,"{'main': 'NEWS SUMMARY', 'kicker': None, 'content_kicker': None, 'print_headline': 'NEWS SUMMARY', 'name': None, 'seo': None, 'sub': None}",[],INTERNATIONAL A3-12,[],Metropolitan Desk,,2000-04-07T05:00:00+0000,New York,,The New York Times,,Summary,nyt://article/c97aa56e-7032-576c-b421-15d216651185,https://www.nytimes.com/2000/04/07/nyregion/news-summary-662887.html,1318,2000/04/07,NEWS SUMMARY,article,,
5ca0355449f0eacbf1ca3ceb,"Jane E Brody Personal Health column says most parents now raising questions about safety and wisdom of childhood immunizations have never seen a case of whooping cough, polio, measles or mumps, having been protected against such serious infections by series of vaccinations administered early in life; warns that ill-informed hysteria about safety of current vaccines could once more bring these awful childhood diseases to the fore (M)",{},"{'original': 'By Jane E. Brody', 'person': [{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20000101_0.json,"{'main': 'For the Vaccine-Wary, a Lesson in History', 'kicker': 'PERSONAL HEALTH', 'content_kicker': None, 'print_headline': 'PERSONAL HEALTH; For the Vaccine-Wary, a Lesson in History', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Poliomyelitis', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mumps', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Whooping Cough', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Measles', 'rank': 6, 'major': 'N'}, {'name': 'creative_works', 'value': 'PERSONAL HEALTH (TIMES COLUMN)', 'rank': 7, 'major': 'N'}]","Most parents now raising questions about the safety and wisdom of childhood immunizations have never seen a case of whooping cough, polio, measles or mumps. Parents now in their 20's and 30's grew up in an era when they and all their schoolmates were protected against such serious infections by a series of vaccinations administered early in life.",[],Health & Fitness,,2000-10-03T05:00:00+0000,Health,"Jane E Brody Personal Health column says most parents now raising questions about safety and wisdom of childhood immunizations have never seen a case of whooping cough, polio, measles or mumps, having been protected against such serious infections...",The New York Times,,News,nyt://article/26a7bc32-b219-5116-9a00-620ab9724b1c,https://www.nytimes.com/2000/10/03/health/personal-health-for-the-vaccine-wary-a-lesson-in-history.html,1154,2000/10/03,"For the Vaccine-Wary, a Lesson in History",article,,
5ca0a05549f0eacbf1f0e748,"Analysis of vaccination data in Britain shows no support for theory that sharp increase in cases of autism is related to vaccine for measles, mumps and rubella (S)",{},"{'original': ""By John O'Neil"", 'person': [{'firstname': 'John', 'middlename': None, 'lastname': ""O'Neil"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'VITAL SIGNS: OUTCOMES; Vaccine Discounted as a Link to Autism', 'kicker': None, 'content_kicker': None, 'print_headline': 'VITAL SIGNS: OUTCOMES; Vaccine Discounted as a Link to Autism', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': ""O'Neil, John"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Autism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}]","An analysis of vaccination data in Britain shows no support for the theory that the sharp increase in cases of autism is related to the vaccine for measles, mumps and rubella, according to an article published Saturday by The British Medical Journal.",[],Health & Fitness,,2001-02-20T05:00:00+0000,Health,"Analysis of vaccination data in Britain shows no support for theory that sharp increase in cases of autism is related to vaccine for measles, mumps and rubella (S)",The New York Times,,News,nyt://article/afdcf53a-a12d-544f-aed9-2ab2a642b522,https://www.nytimes.com/2001/02/20/health/vital-signs-outcomes-vaccine-discounted-as-a-link-to-autism.html,356,2001/02/20,VITAL SIGNS: OUTCOMES; Vaccine Discounted as a Link to Autism,article,,
5ca0a1a949f0eacbf1f14e18,"An analysis of vaccination data in Britain shows no support for the theory that the sharp increase in cases of autism is related to the vaccine for measles, mumps and rubella, according to an article published Saturday by The British Medical Journal.",{},"{'original': ""By John O'Neil"", 'person': [{'firstname': 'John', 'middlename': None, 'lastname': ""O'Neil"", 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'Vaccine Discounted as a Link to Autism', 'kicker': None, 'content_kicker': None, 'print_headline': 'Vaccine Discounted as a Link to Autism', 'name': None, 'seo': None, 'sub': None}",[]," An analysis of vaccination data in Britain shows no support for the theory that the sharp increase in cases of autism is related to the vaccine for measles, mumps and rubella, according to an article published Saturday by The British Medical Journal. ",[],None,,2001-02-20T05:00:00+0000,Health,"An analysis of vaccination data in Britain shows no support for the theory that the sharp increase in cases of autism is related to the vaccine for measles, mumps and rubella, according to an article published Saturday by The British Medical Journ...",The New York Times,,News,nyt://article/ff311f61-e6fa-5b99-b8f0-c6ea6815e666,https://www.nytimes.com/2001/02/20/health/vaccine-discounted-as-a-link-to-autism.html,298,2001/02/20,Vaccine Discounted as a Link to Autism,,,
5ca0a00249f0eacbf1f0ce90,"Correction of Feb 20 article on possible link between vaccine and autism, which misstated scope of database on which new study was based",{},"{'original': None, 'person': [], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'Corrections', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Autism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Correction Stories', 'rank': 4, 'major': 'N'}]","A brief report in the Vital Signs column of Science Times on Tuesday about possible links between a vaccine and autism misstated the scope of the General Practitioners Research Database, on which a new study was based. It comprises detailed information on some four million children and adults, not almost all children born in the United Kingdom.",[],Metropolitan Desk,2,2001-02-22T05:00:00+0000,New York,"Correction of Feb 20 article on possible link between vaccine and autism, which misstated scope of database on which new study was based",The New York Times,,Correction,nyt://article/1036a3dd-e9ec-5a3f-8205-7c29b4cf8cf0,https://www.nytimes.com/2001/02/22/nyregion/c-corrections-035785.html,58,2001/02/22,Corrections,,,
5ca09ea249f0eacbf1f05d90,"An article yesterday about a call on NATO by President Vladimir V. Putin of Russia to develop a joint missile defense system misstated NATO's membership in some editions. It is 19 countries, not 16.",{},"{'original': 'By', 'person': [], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_1.json,"{'main': 'Corrections', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Russia', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Columbia', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Westport', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'United Kingdom', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Middletown Russia', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Columbia', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Westport', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'United Kingdom', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Middletown', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'NATO', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'RCN Corporation NATO', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'RCN Corporation', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'children_and_youth', 'rank': 14, 'major': 'N'}, {'name': 'subject', 'value': 'books_and_literature research', 'rank': 15, 'major': 'N'}, {'name': 'subject', 'value': 'children_and_youth', 'rank': 16, 'major': 'N'}, {'name': 'subject', 'value': 'books_and_literature', 'rank': 17, 'major': 'N'}]"," An article yesterday about a call on NATO by President Vladimir V. Putin of Russia to develop a joint missile defense system misstated NATO's membership in some editions. It is 19 countries, not 16. ",[],None,,2001-02-22T05:00:00+0000,,"An article yesterday about a call on NATO by President Vladimir V. Putin of Russia to develop a joint missile defense system misstated NATO's membership in some editions. It is 19 countries, not 16.",The New York Times,,News,nyt://article/22206eed-b4d3-5cb7-be7e-73e21bf24d5d,https://www.nytimes.com/2001/02/22/pageoneplus/corrections.html,420,2001/02/22,Corrections,,,
5ca09fc549f0eacbf1f0bbe7,"Report by Institute of Medicine in Washington, DC, says there is no evidence that combined measles, mumps and rubella vaccine--given to nearly four million American toddlers each year--increases healthy child's risk of developing autism (S)",{},"{'original': 'By Sandra Blakeslee', 'person': [{'firstname': 'Sandra', 'middlename': None, 'lastname': 'Blakeslee', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'No Evidence of Autism Link Is Seen in Vaccine, Study Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'No Evidence of Autism Link Is Seen in Vaccine, Study Says', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Institute of Medicine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Autism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'German Measles (Rubella)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Mumps', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Measles', 'rank': 7, 'major': 'N'}]","There is no evidence that the combined measles, mumps and rubella vaccine -- given to nearly four million American toddlers each year -- increases a healthy child's risk of developing autism, according to a report issued yesterday by the Institute of Medicine in Washington.",[],National Desk,,2001-04-24T05:00:00+0000,U.S.,"Report by Institute of Medicine in Washington, DC, says there is no evidence that combined measles, mumps and rubella vaccine--given to nearly four million American toddlers each year--increases healthy child's risk of developing autism (S)",The New York Times,,News,nyt://article/257bbf91-034c-5881-86bf-dccd20b2d410,https://www.nytimes.com/2001/04/24/us/no-evidence-of-autism-link-is-seen-in-vaccine-study-says.html,519,2001/04/24,"No Evidence of Autism Link Is Seen in Vaccine, Study Says",article,,
5ca09d6c49f0eacbf1eff8d2," INTERNATIONAL   A3-11    Challenger Elected To Head Party in Japan  Junichiro Koizumi, 59, a reformist lawmaker, was elected president of Japan's governing Liberal Democratic Party, virtually assuring his selection as the next prime minister. A former health minister, Mr. Koizumi captured the top spot in 41 of 47 prefectures and won nearly 90% of the vote. The vote reflected deep dissatisfaction with the candidate of the ruling party's establishment, former Prime Minister Ryutaro Hashimoto.   A1",{},"{'original': None, 'person': [], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_1.json,"{'main': 'NEWS SUMMARY', 'kicker': None, 'content_kicker': None, 'print_headline': 'NEWS SUMMARY', 'name': None, 'seo': None, 'sub': None}",[],INTERNATIONAL A3-11,[],Metropolitan Desk,,2001-04-24T05:00:00+0000,New York,,The New York Times,,Summary,nyt://article/3abe9041-462a-5785-a6f1-ebd5a3e92360,https://www.nytimes.com/2001/04/24/nyregion/news-summary-004731.html,1234,2001/04/24,NEWS SUMMARY,article,,
5ca09f6149f0eacbf1f09a5f,question,{},"{'original': 'By Arthur Allen', 'person': [{'firstname': 'Arthur', 'middlename': None, 'lastname': 'Allen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'The Way We Live Now: 5-6-01: Questions for Barbara Loe Fisher; A Shot in the Dark', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Way We Live Now: 5-6-01: Questions for Barbara Loe Fisher; A Shot in the Dark', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Vaccine Information Center', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Fisher, Barbara Loe', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Biographical Information', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 5, 'major': 'N'}]",Q: Many people consider vaccination one of the great medical successes of the 20th century. Do you disagree with that assessment?,[],Magazine Desk,,2001-05-06T05:00:00+0000,Magazine,question,The New York Times,,Interview,nyt://article/f3f72c7d-d386-59a3-b341-abefbd466cb3,https://www.nytimes.com/2001/05/06/magazine/the-way-we-live-now-5601-questions-for-barbara-loe-fisher-a-shot-in.html,691,2001/05/06,The Way We Live Now: 5-6-01: Questions for Barbara Loe Fisher; A Shot in the Dark,article,,
5ca09ffd49f0eacbf1f0ccf3,QMany people consider vaccination one of the great medical successes of the 20th century. Do you disagree with that assessment?,{},"{'original': 'By Arthur Allen', 'person': [{'firstname': 'Arthur', 'middlename': None, 'lastname': 'Allen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",article,nyt_vaccine_autism/v2/date_20010101_0.json,"{'main': 'Questions for Barbara Loe Fisher on the Costs of Vaccination', 'kicker': None, 'content_kicker': None, 'print_headline': 'Questions for Barbara Loe Fisher on the Costs of Vaccination', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 2, 'major': 'N'}]",QMany people consider vaccination one of the great medical successes of the 20th century. Do you disagree with that assessment?,[],None,,2001-05-06T05:00:00+0000,Magazine,QMany people consider vaccination one of the great medical successes of the 20th century. Do you disagree with that assessment?,The New York Times,,News,nyt://article/1f13ce3e-388b-5eb5-8f7d-7bbacc53e31a,https://www.nytimes.com/2001/05/06/magazine/questions-for-barbara-loe-fisher-on-the-costs-of-vaccination.html,666,2001/05/06,Questions for Barbara Loe Fisher on the Costs of Vaccination,,,
