_id,headline,web_url,pub_date,lead_paragraph
5c8885da40d36ff070bc5e5b,Court Hears More Claims of Vaccine-Autism Link,https://www.nytimes.com/2008/05/13/health/13vaccine.html,2008/05/13,WASHINGTON  The United States Court of Federal Claims began another hearing on Monday to decide whether a vaccine additive led thousands of children to become autistic.
5c88852440d36ff070bc3e47,"Vaccines, Autism and Our Daughter, Hannah",https://www.nytimes.com/2008/04/05/opinion/l05autism.html,2008/04/05,To the Editor:
5c8887fe40d36ff070bcc34b,Debunking an Autism Theory,https://www.nytimes.com/2008/09/09/opinion/09tue3.html,2008/09/09,"Ten years ago, a clinical research paper triggered widespread and persistent fears that a combined vaccine that prevents measles, mumps and rubella  the so-called MMR vaccine  causes autism in young children. That theory has been soundly refuted by a variety of other research over the years, and now a new study that tried to replicate the original study has provided further evidence that it was a false alarm."
5c88881240d36ff070bcc744,In Search of the Cause of Autism,https://www.nytimes.com/2008/09/15/opinion/l15autism.html,2008/09/12,To the Editor:
5c8884a540d36ff070bc263a,Deal in an Autism Case Fuels Debate on Vaccine,https://www.nytimes.com/2008/03/08/us/08vaccine.html,2008/03/08,"WASHINGTON  Study after study has failed to show any link between vaccines and autism, but many parents of autistic children remain unconvinced. For the skeptics, the case of 9-year-old Hannah Poling shows that they have been right along."
5c8887ae40d36ff070bcb37a,"Measles Cases Grow in Number, and Officials Blame Parents’ Fear of Autism",https://www.nytimes.com/2008/08/22/health/research/22measles.html,2008/08/22,"More people had measles infections in the first seven months of this year than during any comparable period since 1996, and public health officials blamed growing numbers of parents who refuse to vaccinate their children."
5c88322e40d36ff070aae858,Debunking a theory on the cause of autism,https://www.nytimes.com/2008/09/15/opinion/15iht-edautism.1.16166132.html,2008/09/15,"Ten years ago, a clinical research paper triggered widespread and persistent fears that a combined vaccine that prevents measles, mumps and rubella - the so-called MMR vaccine - causes autism in young children. That theory has been soundly refuted by a variety of other research over the years, and now a new study that tried to replicate the original study has provided further evidence that it was a false alarm."
5c8886a540d36ff070bc8483,"Experts to Discuss One Puzzling Autism Case, as a Second Case Has Arisen",https://www.nytimes.com/2008/06/28/health/28vaccine.html,2008/06/28,"Federal health officials on Sunday will call together some of the world’s leading experts on an obscure disease to discuss the controversial case of a 9-year-old girl from Athens, Ga., who became autistic after receiving numerous vaccinations."
5c88891c40d36ff070bcfc45,Gibraltar Suffers Fast-Spreading Measles Outbreak,https://www.nytimes.com/2008/11/11/health/research/11glob.html,2008/11/10,"A measles outbreak in Gibraltar has infected almost 1 percent of the territory’s 28,000 people in just three months, according to a report by its public health director."
5c88854540d36ff070bc438d,Public Forum to Address Safety Issues on Vaccines,https://www.nytimes.com/2008/04/11/health/policy/11vaccine.html,2008/04/11,"WASHINGTON  In the midst of yet another controversy about whether vaccines cause autism, the federal government will hold its first ever public meeting on Friday to discuss a governmentwide research agenda to explore the safety of vaccines. "
